Timestep,MeanReward,RewardType,Algorithm,Environment,Seed,RunName,DemoName,NumDemos
97,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
98,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
99,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
100,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
101,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
102,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
103,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
104,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
105,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
106,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
107,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
108,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
109,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
110,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
111,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
112,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
113,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
114,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
115,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
116,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
117,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
118,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
119,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
120,0.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
121,1.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
122,1.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
123,1.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
124,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
125,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
126,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
127,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
128,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
129,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
130,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
131,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
132,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
133,2.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
134,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
135,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
136,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
137,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
138,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
139,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
140,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
141,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
142,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
143,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
144,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
145,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
146,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
147,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
148,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
149,3.0,sparse,MGAIL,Block Push - Image,seed_17,transfer_dynamics_mgail_seed_17,demos-unknown,0
0,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
1,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
2,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
3,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
4,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
5,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
6,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
7,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
8,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
9,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
10,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
11,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
12,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
13,0.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
14,1.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
15,1.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
16,2.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
17,3.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
18,3.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
19,4.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
20,5.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
21,6.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
22,7.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
23,8.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
24,9.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
25,9.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
26,10.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
27,11.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
28,12.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
29,12.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
30,13.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
31,14.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
32,14.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
33,15.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
34,16.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
35,16.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
36,17.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
37,18.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
38,18.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
39,19.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
40,20.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
41,21.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
42,21.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
43,22.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
44,22.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
45,23.0,sparse,MPAIL2,Block Push - Image,seed_83,transfer_dynamics_mpail_seed_83,demos-unknown,0
